url,filename,name,price,description,rating,category
https://m.media-amazon.com/images/I/6108u133XwL._AC_UY218_.jpg,18_9.jpg,"Nokia C32 with 50MP Dual Rear AI Camera | Toughened Glass Back | 4GB RAM, 64GB Storage | Upto 7GB RAM with RAM Extension | 5000 mAh Battery | 1 Year Replacement Warranty | Android 13 | Breezy Mint",,"Nokia C32 with 50MP Dual Rear AI Camera | Toughened Glass Back | 4GB RAM, 64GB Storage | Upto 7GB RAM with RAM Extension | 5000 mAh Battery | 1 Year Replacement Warranty | Android 13 | Breezy Mint",3.4 out of 5 stars,kjjhg
https://m.media-amazon.com/images/I/61cDI9yRBFL._AC_UY218_.jpg,18_10.jpg,"(Renewed) Realme C11 (Rich Green, 32 GB) (2 GB RAM)","6,999","(Renewed) Realme C11 (Rich Green, 32 GB) (2 GB RAM)",3.1 out of 5 stars,kjjhg
https://m.media-amazon.com/images/I/51Hd6dpPypL._AC_UY218_.jpg,18_11.jpg,"(Refurbished) Redmi Note 12 (Lunar Black, 6GB RAM, 64GB Storage)","9,499","(Refurbished) Redmi Note 12 (Lunar Black, 6GB RAM, 64GB Storage)",4.0 out of 5 stars,kjjhg
https://m.media-amazon.com/images/I/51NVtqbvGLS._AC_UY218_.jpg,18_12.jpg,"(Refurbished) Samsung Galaxy M12 (Black,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera","9,899","(Refurbished) Samsung Galaxy M12 (Black,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera",3.6 out of 5 stars,kjjhg
https://m.media-amazon.com/images/I/61WcRG9hGLL._AC_UY218_.jpg,18_13.jpg,Infinix Smart 8 Shiny Gold 3GB RAM 64GB Storage,,Infinix Smart 8 Shiny Gold 3GB RAM 64GB Storage,3.9 out of 5 stars,kjjhg
https://m.media-amazon.com/images/I/51DhfR26mEL._AC_UY218_.jpg,18_14.jpg,"Lava O2 Smartphone (Imperial Green, 8GB RAM, UFS 2.2 128GB Storage) |AG Glass Back|T616 Octacore Processor|18W Fast Charging|6.5 inch 90Hz Punch Hole Display|50MP AI Dual Camera","9,899","Lava O2 Smartphone (Imperial Green, 8GB RAM, UFS 2.2 128GB Storage) |AG Glass Back|T616 Octacore Processor|18W Fast Charging|6.5 inch 90Hz Punch Hole Display|50MP AI Dual Camera",,kjjhg
https://m.media-amazon.com/images/I/81q+rO0T9eL._AC_UY218_.jpg,18_15.jpg,"(Refurbished) Redmi 9 Activ (Coral Green, 4GB RAM, 64GB Storage)","7,999","(Refurbished) Redmi 9 Activ (Coral Green, 4GB RAM, 64GB Storage)",3.1 out of 5 stars,kjjhg
https://m.media-amazon.com/images/I/51baYqZZYDL._AC_UY218_.jpg,18_16.jpg,"(Refurbished) OPPO A7 (Glaze Blue, 3GB RAM, 64GB Storage) with Offer","6,699","(Refurbished) OPPO A7 (Glaze Blue, 3GB RAM, 64GB Storage) with Offer",3.6 out of 5 stars,kjjhg
https://m.media-amazon.com/images/I/81fOvheIt1L._AC_UY218_.jpg,18_17.jpg,"(Refurbished) Oppo A17 (Midnight Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offe","7,999","(Refurbished) Oppo A17 (Midnight Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offe",2.9 out of 5 stars,kjjhg
https://m.media-amazon.com/images/I/71+HWq3N3mL._AC_UY218_.jpg,18_18.jpg,"(Refurbished) Redmi Note 9 (Aqua Green, 4GB RAM, 128GB Storage) - 48MP Quad Camera & Full HD+ Display","7,999","(Refurbished) Redmi Note 9 (Aqua Green, 4GB RAM, 128GB Storage) - 48MP Quad Camera & Full HD+ Display",3.1 out of 5 stars,kjjhg
